,Notes,State,State Code,Year,Multiple Cause of death,Multiple Cause of death Code,Deaths,Population
139,,Alabama,1,2011.0,Cannabis (derivatives),T40.7,Suppressed,4802740
140,,Alabama,1,2011.0,Lysergide [LSD],T40.8,Suppressed,4802740
141,,Alabama,1,2011.0,Other and unspecified psychodysleptics [hallucinogens],T40.9,Suppressed,4802740
142,Total,Alabama,1,2011.0,,,235,4802740
143,,Alabama,1,2012.0,Opium,T40.0,Suppressed,4822023
144,,Alabama,1,2012.0,Heroin,T40.1,36,4822023
145,,Alabama,1,2012.0,Other opioids,T40.2,70,4822023
146,,Alabama,1,2012.0,Methadone,T40.3,57,4822023
147,,Alabama,1,2012.0,Other synthetic narcotics,T40.4,17,4822023
148,,Alabama,1,2012.0,Cocaine,T40.5,23,4822023
149,,Alabama,1,2012.0,Other and unspecified narcotics,T40.6,11,4822023
150,,Alabama,1,2012.0,Cannabis (derivatives),T40.7,Suppressed,4822023
151,,Alabama,1,2012.0,Lysergide [LSD],T40.8,Suppressed,4822023
152,,Alabama,1,2012.0,Other and unspecified psychodysleptics [hallucinogens],T40.9,Suppressed,4822023
153,Total,Alabama,1,2012.0,,,214,4822023
154,,Alabama,1,2013.0,Opium,T40.0,Suppressed,4833722
155,,Alabama,1,2013.0,Heroin,T40.1,42,4833722
156,,Alabama,1,2013.0,Other opioids,T40.2,71,4833722
157,,Alabama,1,2013.0,Methadone,T40.3,44,4833722
158,,Alabama,1,2013.0,Other synthetic narcotics,T40.4,31,4833722
159,,Alabama,1,2013.0,Cocaine,T40.5,39,4833722
160,,Alabama,1,2013.0,Other and unspecified narcotics,T40.6,16,4833722
161,,Alabama,1,2013.0,Cannabis (derivatives),T40.7,Suppressed,4833722
162,,Alabama,1,2013.0,Lysergide [LSD],T40.8,Suppressed,4833722
163,,Alabama,1,2013.0,Other and unspecified psychodysleptics [hallucinogens],T40.9,Suppressed,4833722
164,Total,Alabama,1,2013.0,,,243,4833722
165,,Alabama,1,2014.0,Opium,T40.0,Suppressed,4849377
166,,Alabama,1,2014.0,Heroin,T40.1,125,4849377
167,,Alabama,1,2014.0,Other opioids,T40.2,95,4849377
168,,Alabama,1,2014.0,Methadone,T40.3,46,4849377
169,,Alabama,1,2014.0,Other synthetic narcotics,T40.4,50,4849377
170,,Alabama,1,2014.0,Cocaine,T40.5,44,4849377
171,,Alabama,1,2014.0,Other and unspecified narcotics,T40.6,14,4849377
172,,Alabama,1,2014.0,Cannabis (derivatives),T40.7,Suppressed,4849377
173,,Alabama,1,2014.0,Lysergide [LSD],T40.8,Suppressed,4849377
174,,Alabama,1,2014.0,Other and unspecified psychodysleptics [hallucinogens],T40.9,Suppressed,4849377
175,Total,Alabama,1,2014.0,,,377,4849377
176,,Alabama,1,2015.0,Opium,T40.0,Suppressed,4858979
177,,Alabama,1,2015.0,Heroin,T40.1,111,4858979
178,,Alabama,1,2015.0,Other opioids,T40.2,90,4858979
179,,Alabama,1,2015.0,Methadone,T40.3,43,4858979
180,,Alabama,1,2015.0,Other synthetic narcotics,T40.4,73,4858979
181,,Alabama,1,2015.0,Cocaine,T40.5,44,4858979
182,,Alabama,1,2015.0,Other and unspecified narcotics,T40.6,23,4858979
183,,Alabama,1,2015.0,Cannabis (derivatives),T40.7,Suppressed,4858979
184,,Alabama,1,2015.0,Lysergide [LSD],T40.8,Suppressed,4858979
185,,Alabama,1,2015.0,Other and unspecified psychodysleptics [hallucinogens],T40.9,Suppressed,4858979
186,Total,Alabama,1,2015.0,,,389,4858979
187,,Alabama,1,2016.0,Opium,T40.0,Suppressed,4863300
188,,Alabama,1,2016.0,Heroin,T40.1,129,4863300
189,,Alabama,1,2016.0,Other opioids,T40.2,99,4863300
190,,Alabama,1,2016.0,Methadone,T40.3,35,4863300
191,,Alabama,1,2016.0,Other synthetic narcotics,T40.4,158,4863300
192,,Alabama,1,2016.0,Cocaine,T40.5,91,4863300
193,,Alabama,1,2016.0,Other and unspecified narcotics,T40.6,13,4863300
194,,Alabama,1,2016.0,Cannabis (derivatives),T40.7,Suppressed,4863300
195,,Alabama,1,2016.0,Lysergide [LSD],T40.8,Suppressed,4863300
196,,Alabama,1,2016.0,Other and unspecified psychodysleptics [hallucinogens],T40.9,Suppressed,4863300
197,Total,Alabama,1,2016.0,,,529,4863300
198,,Alabama,1,2017.0,Opium,T40.0,Suppressed,4874747
199,,Alabama,1,2017.0,Heroin,T40.1,126,4874747
200,,Alabama,1,2017.0,Other opioids,T40.2,146,4874747
201,,Alabama,1,2017.0,Methadone,T40.3,33,4874747
202,,Alabama,1,2017.0,Other synthetic narcotics,T40.4,203,4874747
203,,Alabama,1,2017.0,Cocaine,T40.5,126,4874747
204,,Alabama,1,2017.0,Other and unspecified narcotics,T40.6,23,4874747
205,,Alabama,1,2017.0,Cannabis (derivatives),T40.7,11,4874747
206,,Alabama,1,2017.0,Lysergide [LSD],T40.8,Suppressed,4874747
207,,Alabama,1,2017.0,Other and unspecified psychodysleptics [hallucinogens],T40.9,Suppressed,4874747
208,Total,Alabama,1,2017.0,,,669,4874747
209,,Alabama,1,2018.0,Opium,T40.0,Suppressed,4887871
210,,Alabama,1,2018.0,Heroin,T40.1,140,4887871
211,,Alabama,1,2018.0,Other opioids,T40.2,129,4887871
212,,Alabama,1,2018.0,Methadone,T40.3,35,4887871
213,,Alabama,1,2018.0,Other synthetic narcotics,T40.4,150,4887871
214,,Alabama,1,2018.0,Cocaine,T40.5,98,4887871
215,,Alabama,1,2018.0,Other and unspecified narcotics,T40.6,13,4887871
216,,Alabama,1,2018.0,Cannabis (derivatives),T40.7,20,4887871
217,,Alabama,1,2018.0,Lysergide [LSD],T40.8,Suppressed,4887871
218,,Alabama,1,2018.0,Other and unspecified psychodysleptics [hallucinogens],T40.9,Suppressed,4887871
219,Total,Alabama,1,2018.0,,,586,4887871
220,,Alabama,1,2019.0,Opium,T40.0,Suppressed,4903185
221,,Alabama,1,2019.0,Heroin,T40.1,143,4903185
222,,Alabama,1,2019.0,Other opioids,T40.2,142,4903185
223,,Alabama,1,2019.0,Methadone,T40.3,33,4903185
224,,Alabama,1,2019.0,Other synthetic narcotics,T40.4,215,4903185
225,,Alabama,1,2019.0,Cocaine,T40.5,109,4903185
226,,Alabama,1,2019.0,Other and unspecified narcotics,T40.6,10,4903185
227,,Alabama,1,2019.0,Cannabis (derivatives),T40.7,10,4903185
228,,Alabama,1,2019.0,Lysergide [LSD],T40.8,Suppressed,4903185
229,,Alabama,1,2019.0,Other and unspecified psychodysleptics [hallucinogens],T40.9,Suppressed,4903185
230,Total,Alabama,1,2019.0,,,662,4903185
231,Total,Alabama,1,,,,5903,98682634
232,,Alaska,2,1999.0,Opium,T40.0,Suppressed,624779
233,,Alaska,2,1999.0,Heroin,T40.1,Suppressed,624779
234,,Alaska,2,1999.0,Other opioids,T40.2,11,624779
235,,Alaska,2,1999.0,Methadone,T40.3,Suppressed,624779
236,,Alaska,2,1999.0,Other synthetic narcotics,T40.4,Suppressed,624779
237,,Alaska,2,1999.0,Cocaine,T40.5,13,624779
238,,Alaska,2,1999.0,Other and unspecified narcotics,T40.6,Suppressed,624779
239,,Alaska,2,1999.0,Cannabis (derivatives),T40.7,Suppressed,624779
240,,Alaska,2,1999.0,Lysergide [LSD],T40.8,Suppressed,624779
241,,Alaska,2,1999.0,Other and unspecified psychodysleptics [hallucinogens],T40.9,Suppressed,624779
242,Total,Alaska,2,1999.0,,,43,624779
243,,Alaska,2,2000.0,Opium,T40.0,Suppressed,626932
244,,Alaska,2,2000.0,Heroin,T40.1,Suppressed,626932
245,,Alaska,2,2000.0,Other opioids,T40.2,21,626932
246,,Alaska,2,2000.0,Methadone,T40.3,Suppressed,626932
247,,Alaska,2,2000.0,Other synthetic narcotics,T40.4,Suppressed,626932
248,,Alaska,2,2000.0,Cocaine,T40.5,14,626932
249,,Alaska,2,2000.0,Other and unspecified narcotics,T40.6,Suppressed,626932
250,,Alaska,2,2000.0,Cannabis (derivatives),T40.7,Suppressed,626932
251,,Alaska,2,2000.0,Lysergide [LSD],T40.8,Suppressed,626932
252,,Alaska,2,2000.0,Other and unspecified psychodysleptics [hallucinogens],T40.9,Suppressed,626932
253,Total,Alaska,2,2000.0,,,49,626932
254,,Alaska,2,2001.0,Opium,T40.0,Suppressed,633714
255,,Alaska,2,2001.0,Heroin,T40.1,Suppressed,633714
256,,Alaska,2,2001.0,Other opioids,T40.2,10,633714
257,,Alaska,2,2001.0,Methadone,T40.3,Suppressed,633714
258,,Alaska,2,2001.0,Other synthetic narcotics,T40.4,Suppressed,633714
259,,Alaska,2,2001.0,Cocaine,T40.5,Suppressed,633714
260,,Alaska,2,2001.0,Other and unspecified narcotics,T40.6,Suppressed,633714
261,,Alaska,2,2001.0,Cannabis (derivatives),T40.7,Suppressed,633714
262,,Alaska,2,2001.0,Lysergide [LSD],T40.8,Suppressed,633714
263,,Alaska,2,2001.0,Other and unspecified psychodysleptics [hallucinogens],T40.9,Suppressed,633714
264,Total,Alaska,2,2001.0,,,27,633714
265,,Alaska,2,2002.0,Opium,T40.0,Suppressed,642337
266,,Alaska,2,2002.0,Heroin,T40.1,Suppressed,642337
267,,Alaska,2,2002.0,Other opioids,T40.2,Suppressed,642337
268,,Alaska,2,2002.0,Methadone,T40.3,Suppressed,642337
269,,Alaska,2,2002.0,Other synthetic narcotics,T40.4,Suppressed,642337
270,,Alaska,2,2002.0,Cocaine,T40.5,Suppressed,642337
271,,Alaska,2,2002.0,Other and unspecified narcotics,T40.6,Suppressed,642337
272,,Alaska,2,2002.0,Cannabis (derivatives),T40.7,Suppressed,642337
273,,Alaska,2,2002.0,Lysergide [LSD],T40.8,Suppressed,642337
274,,Alaska,2,2002.0,Other and unspecified psychodysleptics [hallucinogens],T40.9,Suppressed,642337
275,Total,Alaska,2,2002.0,,,15,642337
276,,Alaska,2,2003.0,Opium,T40.0,Suppressed,648414
277,,Alaska,2,2003.0,Heroin,T40.1,Suppressed,648414
278,,Alaska,2,2003.0,Other opioids,T40.2,10,648414
279,,Alaska,2,2003.0,Methadone,T40.3,Suppressed,648414
280,,Alaska,2,2003.0,Other synthetic narcotics,T40.4,Suppressed,648414
281,,Alaska,2,2003.0,Cocaine,T40.5,10,648414
282,,Alaska,2,2003.0,Other and unspecified narcotics,T40.6,Suppressed,648414
283,,Alaska,2,2003.0,Cannabis (derivatives),T40.7,Suppressed,648414
284,,Alaska,2,2003.0,Lysergide [LSD],T40.8,Suppressed,648414
285,,Alaska,2,2003.0,Other and unspecified psychodysleptics [hallucinogens],T40.9,Suppressed,648414
286,Total,Alaska,2,2003.0,,,28,648414
287,,Alaska,2,2004.0,Opium,T40.0,Suppressed,659286
288,,Alaska,2,2004.0,Heroin,T40.1,Suppressed,659286
289,,Alaska,2,2004.0,Other opioids,T40.2,Suppressed,659286
290,,Alaska,2,2004.0,Methadone,T40.3,Suppressed,659286
291,,Alaska,2,2004.0,Other synthetic narcotics,T40.4,Suppressed,659286
292,,Alaska,2,2004.0,Cocaine,T40.5,Suppressed,659286
293,,Alaska,2,2004.0,Other and unspecified narcotics,T40.6,Suppressed,659286
294,,Alaska,2,2004.0,Cannabis (derivatives),T40.7,Suppressed,659286
295,,Alaska,2,2004.0,Lysergide [LSD],T40.8,Suppressed,659286
296,,Alaska,2,2004.0,Other and unspecified psychodysleptics [hallucinogens],T40.9,Suppressed,659286
297,Total,Alaska,2,2004.0,,,15,659286
298,,Alaska,2,2005.0,Opium,T40.0,Suppressed,666946
299,,Alaska,2,2005.0,Heroin,T40.1,Suppressed,666946
300,,Alaska,2,2005.0,Other opioids,T40.2,Suppressed,666946
301,,Alaska,2,2005.0,Methadone,T40.3,Suppressed,666946
302,,Alaska,2,2005.0,Other synthetic narcotics,T40.4,Suppressed,666946
303,,Alaska,2,2005.0,Cocaine,T40.5,11,666946
304,,Alaska,2,2005.0,Other and unspecified narcotics,T40.6,Suppressed,666946
305,,Alaska,2,2005.0,Cannabis (derivatives),T40.7,Suppressed,666946
306,,Alaska,2,2005.0,Lysergide [LSD],T40.8,Suppressed,666946
307,,Alaska,2,2005.0,Other and unspecified psychodysleptics [hallucinogens],T40.9,Suppressed,666946
308,Total,Alaska,2,2005.0,,,32,666946
309,,Alaska,2,2006.0,Opium,T40.0,Suppressed,675302
310,,Alaska,2,2006.0,Heroin,T40.1,Suppressed,675302
311,,Alaska,2,2006.0,Other opioids,T40.2,14,675302
312,,Alaska,2,2006.0,Methadone,T40.3,11,675302
313,,Alaska,2,2006.0,Other synthetic narcotics,T40.4,Suppressed,675302
314,,Alaska,2,2006.0,Cocaine,T40.5,14,675302
315,,Alaska,2,2006.0,Other and unspecified narcotics,T40.6,Suppressed,675302
316,,Alaska,2,2006.0,Cannabis (derivatives),T40.7,Suppressed,675302
317,,Alaska,2,2006.0,Lysergide [LSD],T40.8,Suppressed,675302
318,,Alaska,2,2006.0,Other and unspecified psychodysleptics [hallucinogens],T40.9,Suppressed,675302
319,Total,Alaska,2,2006.0,,,45,675302
320,,Alaska,2,2007.0,Opium,T40.0,Suppressed,680300
321,,Alaska,2,2007.0,Heroin,T40.1,Suppressed,680300
322,,Alaska,2,2007.0,Other opioids,T40.2,Suppressed,680300
323,,Alaska,2,2007.0,Methadone,T40.3,Suppressed,680300
324,,Alaska,2,2007.0,Other synthetic narcotics,T40.4,Suppressed,680300
325,,Alaska,2,2007.0,Cocaine,T40.5,11,680300
326,,Alaska,2,2007.0,Other and unspecified narcotics,T40.6,Suppressed,680300
327,,Alaska,2,2007.0,Cannabis (derivatives),T40.7,Suppressed,680300
328,,Alaska,2,2007.0,Lysergide [LSD],T40.8,Suppressed,680300
329,,Alaska,2,2007.0,Other and unspecified psychodysleptics [hallucinogens],T40.9,Suppressed,680300
330,Total,Alaska,2,2007.0,,,28,680300
331,,Alaska,2,2008.0,Opium,T40.0,Suppressed,687455
332,,Alaska,2,2008.0,Heroin,T40.1,Suppressed,687455
333,,Alaska,2,2008.0,Other opioids,T40.2,55,687455
334,,Alaska,2,2008.0,Methadone,T40.3,30,687455
335,,Alaska,2,2008.0,Other synthetic narcotics,T40.4,14,687455
336,,Alaska,2,2008.0,Cocaine,T40.5,29,687455
337,,Alaska,2,2008.0,Other and unspecified narcotics,T40.6,Suppressed,687455
338,,Alaska,2,2008.0,Cannabis (derivatives),T40.7,Suppressed,687455
339,,Alaska,2,2008.0,Lysergide [LSD],T40.8,Suppressed,687455
340,,Alaska,2,2008.0,Other and unspecified psychodysleptics [hallucinogens],T40.9,Suppressed,687455
341,Total,Alaska,2,2008.0,,,139,687455
342,,Alaska,2,2009.0,Opium,T40.0,Suppressed,698895
343,,Alaska,2,2009.0,Heroin,T40.1,Suppressed,698895
344,,Alaska,2,2009.0,Other opioids,T40.2,64,698895
345,,Alaska,2,2009.0,Methadone,T40.3,21,698895
346,,Alaska,2,2009.0,Other synthetic narcotics,T40.4,22,698895
347,,Alaska,2,2009.0,Cocaine,T40.5,28,698895
348,,Alaska,2,2009.0,Other and unspecified narcotics,T40.6,Suppressed,698895
349,,Alaska,2,2009.0,Cannabis (derivatives),T40.7,Suppressed,698895
350,,Alaska,2,2009.0,Lysergide [LSD],T40.8,Suppressed,698895
351,,Alaska,2,2009.0,Other and unspecified psychodysleptics [hallucinogens],T40.9,Suppressed,698895
352,Total,Alaska,2,2009.0,,,147,698895
353,,Alaska,2,2010.0,Opium,T40.0,Suppressed,710231
354,,Alaska,2,2010.0,Heroin,T40.1,Suppressed,710231
355,,Alaska,2,2010.0,Other opioids,T40.2,44,710231
356,,Alaska,2,2010.0,Methadone,T40.3,28,710231
357,,Alaska,2,2010.0,Other synthetic narcotics,T40.4,11,710231
358,,Alaska,2,2010.0,Cocaine,T40.5,19,710231
359,,Alaska,2,2010.0,Other and unspecified narcotics,T40.6,Suppressed,710231
360,,Alaska,2,2010.0,Cannabis (derivatives),T40.7,Suppressed,710231
361,,Alaska,2,2010.0,Lysergide [LSD],T40.8,Suppressed,710231
362,,Alaska,2,2010.0,Other and unspecified psychodysleptics [hallucinogens],T40.9,Suppressed,710231
363,Total,Alaska,2,2010.0,,,108,710231
364,,Alaska,2,2011.0,Opium,T40.0,Suppressed,722718
365,,Alaska,2,2011.0,Heroin,T40.1,12,722718
366,,Alaska,2,2011.0,Other opioids,T40.2,40,722718
367,,Alaska,2,2011.0,Methadone,T40.3,18,722718
368,,Alaska,2,2011.0,Other synthetic narcotics,T40.4,Suppressed,722718
369,,Alaska,2,2011.0,Cocaine,T40.5,13,722718
370,,Alaska,2,2011.0,Other and unspecified narcotics,T40.6,Suppressed,722718
371,,Alaska,2,2011.0,Cannabis (derivatives),T40.7,Suppressed,722718
372,,Alaska,2,2011.0,Lysergide [LSD],T40.8,Suppressed,722718
373,,Alaska,2,2011.0,Other and unspecified psychodysleptics [hallucinogens],T40.9,Suppressed,722718
374,Total,Alaska,2,2011.0,,,93,722718
375,,Alaska,2,2012.0,Opium,T40.0,Suppressed,731449
376,,Alaska,2,2012.0,Heroin,T40.1,23,731449
377,,Alaska,2,2012.0,Other opioids,T40.2,42,731449
378,,Alaska,2,2012.0,Methadone,T40.3,10,731449
379,,Alaska,2,2012.0,Other synthetic narcotics,T40.4,Suppressed,731449
380,,Alaska,2,2012.0,Cocaine,T40.5,22,731449
381,,Alaska,2,2012.0,Other and unspecified narcotics,T40.6,Suppressed,731449
382,,Alaska,2,2012.0,Cannabis (derivatives),T40.7,Suppressed,731449
383,,Alaska,2,2012.0,Lysergide [LSD],T40.8,Suppressed,731449
384,,Alaska,2,2012.0,Other and unspecified psychodysleptics [hallucinogens],T40.9,Suppressed,731449
