,State,Year,Multiple Cause of death,Population,Deaths,Crude Rate
236,Arizona,2004,Heroin,5652404,42,0.74
237,Arizona,2004,Methadone,5652404,70,1.24
238,Arizona,2004,Other narcotics,5652404,124,2.19
239,Arizona,2004,Other opioids,5652404,151,2.67
240,Arizona,2005,Cocaine,5839077,129,2.21
241,Arizona,2005,Heroin,5839077,33,0.57
242,Arizona,2005,Methadone,5839077,91,1.56
243,Arizona,2005,Other narcotics,5839077,120,2.06
244,Arizona,2005,Other opioids,5839077,179,3.07
245,Arizona,2006,Cocaine,6029141,184,3.05
246,Arizona,2006,Heroin,6029141,52,0.86
247,Arizona,2006,Methadone,6029141,94,1.56
248,Arizona,2006,Other narcotics,6029141,178,2.95
249,Arizona,2006,Other opioids,6029141,196,3.25
250,Arizona,2007,Cocaine,6167681,144,2.33
251,Arizona,2007,Heroin,6167681,52,0.84
252,Arizona,2007,Methadone,6167681,88,1.43
253,Arizona,2007,Other narcotics,6167681,153,2.48
254,Arizona,2007,Other opioids,6167681,238,3.86
255,Arizona,2008,Cocaine,6280362,84,1.34
256,Arizona,2008,Heroin,6280362,63,1.0
257,Arizona,2008,Methadone,6280362,93,1.48
258,Arizona,2008,Other narcotics,6280362,129,2.05
259,Arizona,2008,Other opioids,6280362,269,4.28
260,Arizona,2009,Cocaine,6343154,104,1.64
261,Arizona,2009,Heroin,6343154,84,1.32
262,Arizona,2009,Methadone,6343154,109,1.72
263,Arizona,2009,Other narcotics,6343154,169,2.66
264,Arizona,2009,Other opioids,6343154,324,5.11
265,Arizona,2010,Cocaine,6392017,76,1.19
266,Arizona,2010,Heroin,6392017,91,1.42
267,Arizona,2010,Methadone,6392017,109,1.71
268,Arizona,2010,Other narcotics,6392017,185,2.89
269,Arizona,2010,Other opioids,6392017,340,5.32
270,Arizona,2011,Cocaine,6482505,63,0.97
271,Arizona,2011,Heroin,6482505,118,1.82
272,Arizona,2011,Methadone,6482505,59,0.91
273,Arizona,2011,Other narcotics,6482505,128,1.97
274,Arizona,2011,Other opioids,6482505,335,5.17
275,Arizona,2012,Cocaine,6553255,62,0.95
276,Arizona,2012,Heroin,6553255,102,1.56
277,Arizona,2012,Methadone,6553255,53,0.81
278,Arizona,2012,Other narcotics,6553255,91,1.39
279,Arizona,2012,Other opioids,6553255,356,5.43
280,Arizona,2013,Cocaine,6626624,57,0.86
281,Arizona,2013,Heroin,6626624,147,2.22
282,Arizona,2013,Methadone,6626624,66,1.0
283,Arizona,2013,Other narcotics,6626624,103,1.55
284,Arizona,2013,Other opioids,6626624,268,4.04
285,Arizona,2014,Cocaine,6731484,58,0.86
286,Arizona,2014,Heroin,6731484,199,2.96
287,Arizona,2014,Methadone,6731484,66,0.98
288,Arizona,2014,Other narcotics,6731484,99,1.47
289,Arizona,2014,Other opioids,6731484,310,4.61
290,Arizona,2015,Cocaine,6828065,68,1.0
291,Arizona,2015,Heroin,6828065,252,3.69
292,Arizona,2015,Methadone,6828065,77,1.13
293,Arizona,2015,Other narcotics,6828065,126,1.85
294,Arizona,2015,Other opioids,6828065,318,4.66
295,Arizona,2016,Cocaine,6931071,90,1.3
296,Arizona,2016,Heroin,6931071,304,4.39
297,Arizona,2016,Methadone,6931071,80,1.15
298,Arizona,2016,Other narcotics,6931071,179,2.58
299,Arizona,2016,Other opioids,6931071,348,5.02
300,Arizona,2017,Cocaine,7016270,143,2.04
301,Arizona,2017,Heroin,7016270,346,4.93
302,Arizona,2017,Methadone,7016270,84,1.2
303,Arizona,2017,Other narcotics,7016270,327,4.66
304,Arizona,2017,Other opioids,7016270,375,5.34
305,Arizona,2018,Cocaine,7171646,180,2.51
306,Arizona,2018,Heroin,7171646,362,5.05
307,Arizona,2018,Methadone,7171646,67,0.93
308,Arizona,2018,Other narcotics,7171646,572,7.98
309,Arizona,2018,Other opioids,7171646,336,4.69
310,Arizona,2019,Cocaine,7278717,183,2.51
311,Arizona,2019,Heroin,7278717,278,3.82
312,Arizona,2019,Methadone,7278717,77,1.06
313,Arizona,2019,Other narcotics,7278717,849,11.66
314,Arizona,2019,Other opioids,7278717,323,4.44
315,Arkansas,1999,Cocaine,2651860,10,0.38
316,Arkansas,1999,Heroin,2651860,5,0.19
317,Arkansas,1999,Methadone,2651860,10,0.38
318,Arkansas,1999,Other narcotics,2651860,10,0.38
319,Arkansas,1999,Other opioids,2651860,5,0.19
320,Arkansas,2000,Cocaine,2673400,14,0.52
321,Arkansas,2000,Heroin,2673400,5,0.19
322,Arkansas,2000,Methadone,2673400,5,0.19
323,Arkansas,2000,Other narcotics,2673400,10,0.37
324,Arkansas,2000,Other opioids,2673400,5,0.19
325,Arkansas,2001,Cocaine,2691571,12,0.45
326,Arkansas,2001,Heroin,2691571,5,0.19
327,Arkansas,2001,Methadone,2691571,5,0.19
328,Arkansas,2001,Other narcotics,2691571,10,0.37
329,Arkansas,2001,Other opioids,2691571,14,0.52
330,Arkansas,2002,Cocaine,2705927,28,1.03
331,Arkansas,2002,Heroin,2705927,5,0.18
332,Arkansas,2002,Methadone,2705927,35,1.29
333,Arkansas,2002,Other narcotics,2705927,37,1.37
334,Arkansas,2002,Other opioids,2705927,42,1.55
335,Arkansas,2003,Cocaine,2724816,30,1.1
336,Arkansas,2003,Heroin,2724816,5,0.18
337,Arkansas,2003,Methadone,2724816,39,1.43
338,Arkansas,2003,Other narcotics,2724816,32,1.17
339,Arkansas,2003,Other opioids,2724816,56,2.06
340,Arkansas,2004,Cocaine,2749686,28,1.02
341,Arkansas,2004,Heroin,2749686,5,0.18
342,Arkansas,2004,Methadone,2749686,54,1.96
343,Arkansas,2004,Other narcotics,2749686,35,1.27
344,Arkansas,2004,Other opioids,2749686,67,2.44
345,Arkansas,2005,Cocaine,2781097,40,1.44
346,Arkansas,2005,Heroin,2781097,5,0.18
347,Arkansas,2005,Methadone,2781097,53,1.91
348,Arkansas,2005,Other narcotics,2781097,32,1.15
349,Arkansas,2005,Other opioids,2781097,64,2.3
350,Arkansas,2006,Cocaine,2821761,44,1.56
351,Arkansas,2006,Heroin,2821761,5,0.18
352,Arkansas,2006,Methadone,2821761,73,2.59
353,Arkansas,2006,Other narcotics,2821761,46,1.63
354,Arkansas,2006,Other opioids,2821761,72,2.55
355,Arkansas,2007,Cocaine,2848650,35,1.23
356,Arkansas,2007,Heroin,2848650,5,0.18
357,Arkansas,2007,Methadone,2848650,68,2.39
358,Arkansas,2007,Other narcotics,2848650,32,1.12
359,Arkansas,2007,Other opioids,2848650,90,3.16
360,Arkansas,2008,Cocaine,2874554,29,1.01
361,Arkansas,2008,Heroin,2874554,5,0.17
362,Arkansas,2008,Methadone,2874554,97,3.37
363,Arkansas,2008,Other narcotics,2874554,50,1.74
364,Arkansas,2008,Other opioids,2874554,118,4.1
365,Arkansas,2009,Cocaine,2896843,29,1.0
366,Arkansas,2009,Heroin,2896843,5,0.17
367,Arkansas,2009,Methadone,2896843,73,2.52
368,Arkansas,2009,Other narcotics,2896843,70,2.42
369,Arkansas,2009,Other opioids,2896843,138,4.76
370,Arkansas,2010,Cocaine,2915918,21,0.72
371,Arkansas,2010,Heroin,2915918,5,0.17
372,Arkansas,2010,Methadone,2915918,56,1.92
373,Arkansas,2010,Other narcotics,2915918,64,2.19
374,Arkansas,2010,Other opioids,2915918,125,4.29
375,Arkansas,2011,Cocaine,2937979,16,0.54
376,Arkansas,2011,Heroin,2937979,5,0.17
377,Arkansas,2011,Methadone,2937979,60,2.04
378,Arkansas,2011,Other narcotics,2937979,41,1.4
379,Arkansas,2011,Other opioids,2937979,117,3.98
380,Arkansas,2012,Cocaine,2949131,17,0.58
381,Arkansas,2012,Heroin,2949131,5,0.17
382,Arkansas,2012,Methadone,2949131,43,1.46
383,Arkansas,2012,Other narcotics,2949131,27,0.92
384,Arkansas,2012,Other opioids,2949131,129,4.37
385,Arkansas,2013,Cocaine,2959373,15,0.51
386,Arkansas,2013,Heroin,2959373,5,0.17
387,Arkansas,2013,Methadone,2959373,44,1.49
388,Arkansas,2013,Other narcotics,2959373,47,1.59
389,Arkansas,2013,Other opioids,2959373,120,4.05
390,Arkansas,2014,Cocaine,2966369,10,0.34
391,Arkansas,2014,Heroin,2966369,5,0.17
392,Arkansas,2014,Methadone,2966369,30,1.01
393,Arkansas,2014,Other narcotics,2966369,44,1.48
394,Arkansas,2014,Other opioids,2966369,123,4.15
395,Arkansas,2015,Cocaine,2978204,18,0.6
396,Arkansas,2015,Heroin,2978204,5,0.17
397,Arkansas,2015,Methadone,2978204,38,1.28
398,Arkansas,2015,Other narcotics,2978204,70,2.35
399,Arkansas,2015,Other opioids,2978204,147,4.94
400,Arkansas,2016,Cocaine,2988248,12,0.4
401,Arkansas,2016,Heroin,2988248,13,0.44
402,Arkansas,2016,Methadone,2988248,32,1.07
403,Arkansas,2016,Other narcotics,2988248,54,1.81
404,Arkansas,2016,Other opioids,2988248,120,4.02
405,Arkansas,2017,Cocaine,3004279,27,0.9
406,Arkansas,2017,Heroin,3004279,15,0.5
407,Arkansas,2017,Methadone,3004279,20,0.67
408,Arkansas,2017,Other narcotics,3004279,90,3.0
409,Arkansas,2017,Other opioids,3004279,122,4.06
410,Arkansas,2018,Cocaine,3013825,28,0.93
411,Arkansas,2018,Heroin,3013825,19,0.63
412,Arkansas,2018,Methadone,3013825,17,0.56
413,Arkansas,2018,Other narcotics,3013825,115,3.82
414,Arkansas,2018,Other opioids,3013825,111,3.68
415,Arkansas,2019,Cocaine,3017804,31,1.03
416,Arkansas,2019,Heroin,3017804,33,1.09
417,Arkansas,2019,Methadone,3017804,17,0.56
418,Arkansas,2019,Other narcotics,3017804,122,4.04
419,Arkansas,2019,Other opioids,3017804,95,3.15
420,California,1999,Cocaine,33499204,506,1.51
421,California,1999,Heroin,33499204,489,1.46
422,California,1999,Methadone,33499204,80,0.24
423,California,1999,Other narcotics,33499204,442,1.32
424,California,1999,Other opioids,33499204,991,2.96
425,California,2000,Cocaine,33871648,384,1.13
426,California,2000,Heroin,33871648,346,1.02
427,California,2000,Methadone,33871648,56,0.17
428,California,2000,Other narcotics,33871648,312,0.92
429,California,2000,Other opioids,33871648,671,1.98
430,California,2001,Cocaine,34479458,246,0.71
431,California,2001,Heroin,34479458,232,0.67
432,California,2001,Methadone,34479458,41,0.12
433,California,2001,Other narcotics,34479458,161,0.47
434,California,2001,Other opioids,34479458,345,1.0
435,California,2002,Cocaine,34871843,531,1.52
436,California,2002,Heroin,34871843,383,1.1
437,California,2002,Methadone,34871843,126,0.36
438,California,2002,Other narcotics,34871843,427,1.22
439,California,2002,Other opioids,34871843,973,2.79
440,California,2003,Cocaine,35253159,531,1.51
441,California,2003,Heroin,35253159,369,1.05
442,California,2003,Methadone,35253159,161,0.46
443,California,2003,Other narcotics,35253159,362,1.03
444,California,2003,Other opioids,35253159,897,2.54
445,California,2004,Cocaine,35574576,478,1.34
446,California,2004,Heroin,35574576,312,0.88
447,California,2004,Methadone,35574576,227,0.64
448,California,2004,Other narcotics,35574576,418,1.17
449,California,2004,Other opioids,35574576,811,2.28
450,California,2005,Cocaine,35827943,546,1.52
451,California,2005,Heroin,35827943,269,0.75
452,California,2005,Methadone,35827943,229,0.64
453,California,2005,Other narcotics,35827943,389,1.09
454,California,2005,Other opioids,35827943,831,2.32
455,California,2006,Cocaine,36021202,558,1.55
456,California,2006,Heroin,36021202,289,0.8
457,California,2006,Methadone,36021202,286,0.79
458,California,2006,Other narcotics,36021202,443,1.23
459,California,2006,Other opioids,36021202,873,2.42
460,California,2007,Cocaine,36250311,534,1.47
461,California,2007,Heroin,36250311,299,0.82
462,California,2007,Methadone,36250311,327,0.9
463,California,2007,Other narcotics,36250311,415,1.14
464,California,2007,Other opioids,36250311,979,2.7
465,California,2008,Cocaine,36604337,401,1.1
466,California,2008,Heroin,36604337,333,0.91
467,California,2008,Methadone,36604337,357,0.98
468,California,2008,Other narcotics,36604337,399,1.09
469,California,2008,Other opioids,36604337,1137,3.11
470,California,2009,Cocaine,36961229,378,1.02
471,California,2009,Heroin,36961229,364,0.98
472,California,2009,Methadone,36961229,448,1.21
473,California,2009,Other narcotics,36961229,420,1.14
474,California,2009,Other opioids,36961229,1226,3.32
475,California,2010,Cocaine,37253956,306,0.82
476,California,2010,Heroin,37253956,334,0.9
477,California,2010,Methadone,37253956,485,1.3
478,California,2010,Other narcotics,37253956,412,1.11
479,California,2010,Other opioids,37253956,1137,3.05
480,California,2011,Cocaine,37691912,312,0.83
481,California,2011,Heroin,37691912,372,0.99
482,California,2011,Methadone,37691912,430,1.14
483,California,2011,Other narcotics,37691912,386,1.02
484,California,2011,Other opioids,37691912,1224,3.25
485,California,2012,Cocaine,38041430,267,0.7
486,California,2012,Heroin,38041430,368,0.97
487,California,2012,Methadone,38041430,376,0.99
488,California,2012,Other narcotics,38041430,338,0.89
489,California,2012,Other opioids,38041430,1034,2.72
490,California,2013,Cocaine,38332521,302,0.79
491,California,2013,Heroin,38332521,497,1.3
492,California,2013,Methadone,38332521,370,0.97
493,California,2013,Other narcotics,38332521,407,1.06
494,California,2013,Other opioids,38332521,1127,2.94
495,California,2014,Cocaine,38802500,340,0.88
496,California,2014,Heroin,38802500,578,1.49
497,California,2014,Methadone,38802500,359,0.93
498,California,2014,Other narcotics,38802500,403,1.04
499,California,2014,Other opioids,38802500,1120,2.89
500,California,2015,Cocaine,39144818,364,0.93
501,California,2015,Heroin,39144818,609,1.56
502,California,2015,Methadone,39144818,304,0.78
503,California,2015,Other narcotics,39144818,424,1.08
504,California,2015,Other opioids,39144818,1088,2.78
505,California,2016,Cocaine,39250017,457,1.16
506,California,2016,Heroin,39250017,606,1.54
507,California,2016,Methadone,39250017,300,0.76
508,California,2016,Other narcotics,39250017,540,1.38
509,California,2016,Other opioids,39250017,1035,2.64
510,California,2017,Cocaine,39536653,514,1.3
511,California,2017,Heroin,39536653,739,1.87
512,California,2017,Methadone,39536653,277,0.7
513,California,2017,Other narcotics,39536653,735,1.86
514,California,2017,Other opioids,39536653,1045,2.64
515,California,2018,Cocaine,39557045,681,1.72
516,California,2018,Heroin,39557045,805,2.04
517,California,2018,Methadone,39557045,250,0.63
518,California,2018,Other narcotics,39557045,1041,2.63
519,California,2018,Other opioids,39557045,977,2.47
520,California,2019,Cocaine,39512223,955,2.42
521,California,2019,Heroin,39512223,988,2.5
522,California,2019,Methadone,39512223,224,0.57
523,California,2019,Other narcotics,39512223,1854,4.69
524,California,2019,Other opioids,39512223,980,2.48
525,Colorado,1999,Cocaine,4226018,111,2.63
526,Colorado,1999,Heroin,4226018,43,1.02
527,Colorado,1999,Methadone,4226018,16,0.38
528,Colorado,1999,Other narcotics,4226018,84,1.99
529,Colorado,1999,Other opioids,4226018,43,1.02
530,Colorado,2000,Cocaine,4301261,94,2.19
531,Colorado,2000,Heroin,4301261,38,0.88
532,Colorado,2000,Methadone,4301261,17,0.4
533,Colorado,2000,Other narcotics,4301261,96,2.23
534,Colorado,2000,Other opioids,4301261,63,1.46
535,Colorado,2001,Cocaine,4425687,107,2.42
536,Colorado,2001,Heroin,4425687,23,0.52
537,Colorado,2001,Methadone,4425687,21,0.47
538,Colorado,2001,Other narcotics,4425687,90,2.03
539,Colorado,2001,Other opioids,4425687,100,2.26
540,Colorado,2002,Cocaine,4490406,126,2.81
541,Colorado,2002,Heroin,4490406,28,0.62
542,Colorado,2002,Methadone,4490406,27,0.6
543,Colorado,2002,Other narcotics,4490406,93,2.07
544,Colorado,2002,Other opioids,4490406,76,1.69
545,Colorado,2003,Cocaine,4528732,152,3.36
546,Colorado,2003,Heroin,4528732,23,0.51
547,Colorado,2003,Methadone,4528732,32,0.71
548,Colorado,2003,Other narcotics,4528732,111,2.45
549,Colorado,2003,Other opioids,4528732,78,1.72
550,Colorado,2004,Cocaine,4575013,143,3.13
551,Colorado,2004,Heroin,4575013,23,0.5
